name,id,price,hash,rarityScore,rarityRank
Clay Nation #7109,7109,x,QmaYqbX68TRF5qj1KCexLZdT6Qie4bwCUDp2VKuAKVnzC2,88,181
Clay Nation #9655,9655,x,QmZCd6AByBSg1WNUVbaLqGEKVFXYbVciajPtgWY8S41bUm,88,182
Clay Nation #6949,6949,x,QmfV4oNjtB4Tpaae8QeRgffi4DiroRWooAaMuVdJ4M4WXs,88,183
Clay Nation #5714,5714,x,QmYjtMdkukfEb7jkvpedBBjEkvpJGWMfYeceuiHHff3tXp,88,184
Clay Nation #0752,752,x,QmU6DXtqwD7u3WLsdggvYFaZkbRdTCHhX9TLZVtN4FQ5HP,88,185
Clay Nation #5698,5698,6500,QmSRZgs4nxwjsU8Drsngp8nV2M92FL8ZYbE1mHt2MpR44f,88,186
Clay Nation #3439,3439,11500,QmXTwh54gSHJvyXcKzLSSeUXgij19N9HN5pQkkDHVN5bdR,88,187
Clay Nation #6136,6136,x,QmXSygkkqNtL4vYiN9WabzSbsipXSp8N4qaPAb8SG4B8JT,88,188
Clay Nation #1399,1399,10000,QmWsFep6mjYfQSWBQ9RiMTtKjvXgeXS8F8WRqzPs7vWm5y,88,189
Clay Nation #5326,5326,x,QmUvehpVoBeBrgqfVrXpg9dQ8sxZ2FgABFTesF5kucX774,88,190
Clay Nation #4176,4176,20000,Qmc9cxmS4tDrnWhRUmGHjQbLidskz7PwdWStHn8fTWLys3,88,191
Clay Nation #9389,9389,x,QmPwLhffkVVb9pNHim4SvLbKKprWYfmhcs2KQnpvGYGuTS,88,192
Clay Nation #0712,712,x,QmemHMCgpM44iEmkeKBERuCiUpCEXdjG4Kj4VoLT4cvy6K,88,193
Clay Nation #8612,8612,8998,QmQkg5ipG4BLHvx2bWMSKf7UkTExZjnXdWXBVrGTjd7ej4,88,194
Clay Nation #5627,5627,8765.309,QmaUmLjG5zEBFTX5yAFVJzb8Hyy2y79s6YmSJa8t2dHLFn,88,195
Clay Nation #1423,1423,x,QmU9KFNn5F3LqFTcyGqCoCVd9FoUX1DD8SbH97DW9acwGW,88,196
Clay Nation #7347,7347,7500,QmTMkpYp4JYcXjQtQGqdFw8LhgMJCAjZDbehzEPczZJMp3,88,197
Clay Nation #0106,106,x,QmRzmK4SD5DskyX2toip8CAFWgCgFRjG7mQpBAPAai2y78,88,198
Clay Nation #2518,2518,x,QmWjpDpNVPqtQRdFaGyNPkagpEmtct3KabGX3BjTgp6GLg,88,199
Clay Nation #1154,1154,x,Qmak4nuH3Pu6owKqkaDD29SErz1JVXkXtVBwGub5wWYUDy,88,200
