name,id,price,hash,rarityScore,rarityRank
Naru 02701,2701,,QmZiLsFYowa69ov3DkfdisdU8JpdahFqKhLf4PdzrwGeDF,575,169
Naru 02450,2450,6000000000,QmdggXgADNTEPny3dST1vDhXWkoT7k5hRbjp7aqrhHrToL,575,170
Naru 03415,3415,,QmXcqk7W4hnugvgDc3rQSTYCWSadAkijqzCea1VyVigJBG,574,171
Naru 05872,5872,,QmRMiU6PCncW58eYGpSU3iVUUtfQebjbDERNWm2pxKppme,573,172
Naru 00122,122,,QmXSSYrNQQPFHmbx3kLFo5CAo1dr6BxyZpW8WobMcG4yti,572,173
Naru 07441,7441,,QmPfomw4HaMGqmPBSFo3sfkn4nxryxDAjsfYrbsZZvMoJg,572,174
Naru 02882,2882,,QmWVwJ8CkK5T18FSSxeVdh8CEu5yDpRUzZ7HYNYbUxDU6e,572,175
Naru 03885,3885,,QmTuw7z3JA7SQN99hzRP5A1HbMSWp5kmQRTBjBLnZyjZMt,568,176
Naru 01853,1853,2495000000,QmU7na4wyrpRbrqBxwipyHkDbHdp8VWNL3T6xdjMfYLxd8,568,177
Naru 00074,74,,QmX8ukkABWXbXDgYEvePBmrpmnYpguNsTd3XDqQ6iAthaf,565,178
Naru 02153,2153,,QmQTTAEosN7W3P6x4hGwJKQpm2c9xmGAnvt9D6MQJdwUNU,565,179
Naru 00268,268,,QmcXEJ9QdkCvP7JZwydq1w13agmuH38W5MQN3L2NaMMxjX,565,180
Naru 05953,5953,,QmcbYqqqomrPJ8kEmnMK8oKPUDpjoaNXnvH4BEVL4xtrMJ,565,181
Naru 00144,144,,QmSNG6XxQvhZSitv8QRRcHD4anuqCxx7j3f4u4jpmdbm2v,564,182
Naru 09756,9756,,QmWxCrJq86P3sS5j4mojMQJSNdUTauD4PXDqVvtKJeJLax,563,183
Naru 00858,858,,QmQtMtywFTSS8kRdJ9hU8iYHFVsK5oyx9q5NHL8VqfFvwM,563,184
Naru 01790,1790,,QmZrupDi2jLGhnyqzyY56EgQ6htgP5x3WRauaz8J75cZp9,562,185
Naru 05625,5625,,QmRaXKv5GNV9MkJjeFPabtZJrUz8Fu8Nfz8QUMxd6zMY4D,562,186
Naru 08690,8690,1990000000,QmcwuBiK9pYxw76WA6P5caz92UQGJp7e8EEUMAL7P7ommm,562,187
Naru 00567,567,,QmPFAE5tHpDowFnbmwqJfsmWPgsLSnDVCTUG9td1sfhREA,562,188
Naru 02627,2627,4200000000,QmTNn4PrvU3xJVYrvzoY5R4NqGmUVpNCUumYXJNZ5GvAFg,561,189
Naru 08994,8994,,QmUqBNr7GqpHFZccLHcDdCsPXLcndkA1YWfx5RzAKDABUV,561,190
Naru 05776,5776,,QmQDc4vawWjEDq36RMTeWqQUDCWPQz36Hfr9kKg3r5sDek,561,191
Naru 01827,1827,,QmQUfoPWFjfpY9HDWejnc8fiw2SrFYSe6YzKyebVfJ4yvL,559,192
Naru 05639,5639,,Qmf7rK4RjybMVPPCsjEGyof7A46DvZWQcLpL4WvY7EYa5b,558,193
Naru 05443,5443,,QmQNuiDBQJLaMDNVjgevbj5YqizqtHAeiYgzjbdqrMxViA,557,194
Naru 08229,8229,12000000000,QmYCWJEUSpuFdQqes371MJAE5bM26xWv6ktFMA9uEoFQWg,557,195
Naru 07175,7175,,QmQACa7hHFRVRa1JNpCxAxzC7VqmbBvzN94rhbiucYf9D7,557,196
Naru 02421,2421,,QmNf34PVN8xADuCncATFyUsZ5sZcPubkFz2K8x3iMrrZFF,556,197
Naru 03503,3503,,QmZXvasEVk73WqSxxhDPgKqoMKXjzbhvUPho1e5qUX7CYf,556,198
Naru 05001,5001,,QmPhdYqjfwpS4ymz3MuktN2W4CXctY87ePzwAVXDqPZ7NK,556,199
Naru 00088,88,,QmRLoXt7Vng6qkzvfBDP7Ga8z18mEjsi1Q22qhB5jbf6tt,555,200
Naru 05224,5224,,QmQJueWb4WBiBP2S7T1C6pBvmvUWd1n1Vz9Xt6kq55c7Er,555,201
Naru 05899,5899,3000000000,QmTCF5ua61UwYrXBwHmm29SseCeUf1rmABdRaFmuxJ3EVF,555,202
Naru 06189,6189,,QmWUfSTitxZLFWHwqaw3GcC7ZqNMhMV4S1wdMoxJRQFL2L,552,203
Naru 08502,8502,,QmVf4kSwmbnGigXQAAukRFQh96SwV5PZvZzSQNkATadqA1,551,204
Naru 07569,7569,7000000000,QmTy9SZiSJkryzM1B927JdqQXCjKCdQRUSQW5EEaw6DdZA,551,205
Naru 03685,3685,,QmVGud6j8y6hDmQAD6JJYSDAqjZqEVnAEpkTRucmZmNVK8,551,206
